PC,Proportion.Variance.Explained
1,0.008858022452988886
2,0.006306241963333702
3,0.005385702660173515
4,0.004512876970046875
5,0.004097953496211998
6,0.002538899996201675
7,0.0024616429958534327
8,0.0020308459645059433
9,0.0019574436867524484
10,0.0018801479381529921
