PC,Proportion.Variance.Explained
1,0.008231152461762611
2,0.005648279368374885
3,0.004568050240037455
4,0.00438548987233113
5,0.002894646544739771
6,0.0025100047931904163
7,0.0023566428292898637
8,0.0020415026254528078
9,0.001908312646767194
10,0.0018034607473249088
