"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"F46H5.3.1",0.000108305338458416,-1.35682351265759,0.295,0.495,1,"1","F46H5.3"
"rfc-1.1",0.0001091685808409,-0.450215366129198,0.033,0.26,1,"1","rfc-1"
"bli-4.1",0.000110335338874556,-0.451098729485679,0.066,0.307,1,"1","bli-4"
"F21C10.10.1",0.000110792558601306,-0.817003147470426,0.098,0.341,1,"1","F21C10.10"
"Y6G8.2.1",0.000111044507500795,-0.530956395599006,0.033,0.254,1,"1","Y6G8.2"
"rnp-5.1",0.000111109268490542,-0.526084320431848,0.049,0.276,1,"1","rnp-5"
"Y60A3A.19.1",0.00011112366987979,-0.503672382216716,0.098,0.334,1,"1","Y60A3A.19"
"ZC477.3.1",0.000112413076850485,-0.491842407115101,0.066,0.297,1,"1","ZC477.3"
"aak-2.1",0.000112448436905433,-0.421317583093912,0.049,0.285,1,"1","aak-2"
"mix-1.1",0.000113191722918861,-0.835974975654475,0.131,0.384,1,"1","mix-1"
"cdc-48.2.1",0.000113210359833525,-0.571279222907131,0.098,0.337,1,"1","cdc-48.2"
"math-24.1",0.000113990405291775,-0.470824625846018,0.049,0.282,1,"1","math-24"
"cacn-1.1",0.000117251488302859,-0.453327977996534,0.115,0.356,1,"1","cacn-1"
"R31.2.1",0.00011730921705942,-0.447789794455104,0.033,0.254,1,"1","R31.2"
"Y42H9AR.4.1",0.000118352646431282,-0.412482925719151,0.033,0.254,1,"1","Y42H9AR.4"
"daf-2.1",0.000118933478230249,-0.415728585222805,0.033,0.254,1,"1","daf-2"
"trm-1.1",0.000120625960706716,-0.532072808018243,0.082,0.319,1,"1","trm-1"
"vps-34.1",0.000120919092586467,-0.47873082559285,0.066,0.3,1,"1","vps-34"
"ced-1.1",0.000120997065153176,-0.508236319098923,0.049,0.276,1,"1","ced-1"
"ZK512.2.1",0.000121006088854698,-0.474930232481744,0.049,0.276,1,"1","ZK512.2"
"egl-26.1",0.000121019625355115,-0.490164746176905,0.049,0.276,1,"1","egl-26"
"lsm-4.1",0.000121309320475214,-0.425421981426649,0.033,0.254,1,"1","lsm-4"
"F59B2.3.1",0.000121404689596139,-0.524692429305176,0.098,0.337,1,"1","F59B2.3"
"H43E16.1.1",0.000122013189130218,-0.951222409679661,0.033,0.251,1,"1","H43E16.1"
"eif-3.I.1",0.000122178464607052,-0.382938650105136,0.033,0.254,1,"1","eif-3.I"
"rpn-9.1",0.000122333175827943,-0.392854118970218,0.033,0.254,1,"1","rpn-9"
"mrps-10.1",0.00012556923484321,-0.415525945284149,0.049,0.276,1,"1","mrps-10"
"rgr-1.1",0.000126580065164596,-0.500801346361961,0.082,0.319,1,"1","rgr-1"
"sac-2.1",0.000128389548192772,-0.412330606124342,0.049,0.276,1,"1","sac-2"
"C41D11.3.1",0.000131179055647119,-0.460417402782853,0.033,0.251,1,"1","C41D11.3"
"ikke-1.1",0.000131388979602097,-0.443969923298299,0.033,0.257,1,"1","ikke-1"
"let-630.1",0.000131623243757285,-0.41823160322017,0.049,0.285,1,"1","let-630"
"dpy-27.1",0.000131803501069305,-0.535790138188507,0.098,0.337,1,"1","dpy-27"
"gars-1.1",0.000133293050342472,-0.477990032230803,0.049,0.272,1,"1","gars-1"
"nhr-177.1",0.000134220620125607,-0.44143429941528,0.033,0.251,1,"1","nhr-177"
"eat-17.1",0.000134250496919155,-0.396246882789266,0.033,0.257,1,"1","eat-17"
"daf-31.1",0.000134690147637092,-0.45256241945329,0.066,0.294,1,"1","daf-31"
"abhd-5.2.1",0.000134915417988044,-0.453327977996533,0.033,0.257,1,"1","abhd-5.2"
"F22B5.4.1",0.000136692631335576,-0.717637412672389,0.066,0.291,1,"1","F22B5.4"
"erh-1.1",0.000137431380033574,-0.424728211256564,0.066,0.294,1,"1","erh-1"
"Y23H5B.6.1",0.000137807323957182,-0.405969618760476,0.033,0.251,1,"1","Y23H5B.6"
"mig-15.1",0.000137856715831916,-0.41896695928935,0.033,0.251,1,"1","mig-15"
"mrps-34.1",0.00013832771786353,-0.490532077825201,0.082,0.313,1,"1","mrps-34"
"E02H1.1.1",0.000138942728972731,-0.430960164968079,0.066,0.294,1,"1","E02H1.1"
"Y61A9LA.3.1",0.00013904167651716,-0.4340660758359,0.066,0.294,1,"1","Y61A9LA.3"
"mdt-29.1",0.000139765957765571,-0.392854118970218,0.033,0.251,1,"1","mdt-29"
"pus-1.1",0.000141047920693209,-0.37629027409577,0.033,0.251,1,"1","pus-1"
"nsun-2.1",0.0001435088740595,-0.359534045770192,0.033,0.251,1,"1","nsun-2"
"Y54E10A.10.1",0.000144083811082553,-0.505149173897383,0.082,0.313,1,"1","Y54E10A.10"
"rpoa-2.1",0.000144873011759565,-0.505149173897383,0.082,0.31,1,"1","rpoa-2"
"C50D2.5.1",0.00014507319213725,-0.384126175671425,0.066,0.307,1,"1","C50D2.5"
"smg-2.1",0.000145490303268047,-0.445770626818451,0.066,0.297,1,"1","smg-2"
"gpdh-3.1",0.000145620364883391,-0.554124320142448,0.115,0.359,1,"1","gpdh-3"
"moag-4.1",0.000146788053854339,-0.439696112408767,0.066,0.297,1,"1","moag-4"
"K10G6.5.1",0.000147037142306669,-1.16566270762572,0.033,0.251,1,"1","K10G6.5"
"Y71H2AM.11.1",0.000149404103375967,-1.07058911635372,0.066,0.291,1,"1","Y71H2AM.11"
"hint-1.1",0.000149839680276079,-0.373424112404319,0.049,0.272,1,"1","hint-1"
"ifbp-1.1",0.000150764617614594,-0.612155270555515,0.049,0.269,1,"1","ifbp-1"
"mrpl-35.1",0.000152282754711098,-0.465895731413759,0.082,0.316,1,"1","mrpl-35"
"lbp-9.1",0.000152668516519583,-0.476861015576687,0.049,0.276,1,"1","lbp-9"
"valv-1.1",0.000153335946310333,-1.43438049123235,0.033,0.257,1,"1","valv-1"
"ivns-1.1",0.000153691063294605,-0.479427695569394,0.082,0.319,1,"1","ivns-1"
"lsm-5.1",0.000156576811110514,-0.468917505277453,0.098,0.35,1,"1","lsm-5"
"samt-1.1",0.000158139528398478,-0.581407791911087,0.066,0.288,1,"1","samt-1"
"C55B7.3.1",0.000158851989390967,-0.70908914891815,0.049,0.269,1,"1","C55B7.3"
"F19B6.1.1",0.000163068901728106,-0.458675543179902,0.066,0.291,1,"1","F19B6.1"
"adr-1.1",0.000164077392979642,-0.421602110269845,0.049,0.276,1,"1","adr-1"
"ftn-2.1",0.000165821070790065,-2.2731142327084,0.361,0.545,1,"1","ftn-2"
"nifk-1.1",0.000170688395496267,-0.61094383791998,0.115,0.344,1,"1","nifk-1"
"tads-1.1",0.000171765148933586,-0.50223757847748,0.131,0.368,1,"1","tads-1"
"pyk-1.1",0.000171866671321257,-0.555008053732648,0.115,0.344,1,"1","pyk-1"
"ubc-9.1",0.000176718932317961,-0.448798319516019,0.066,0.294,1,"1","ubc-9"
"myrf-2.1",0.00017736697323519,-0.590033182972494,0.098,0.328,1,"1","myrf-2"
"panl-3.1",0.000181359305473397,-0.322442333011106,0.049,0.282,1,"1","panl-3"
"ttll-5.1",0.000182046431344587,-0.49621379084971,0.049,0.266,1,"1","ttll-5"
"ZC434.4.1",0.000183460034402478,-0.468791095384338,0.049,0.266,1,"1","ZC434.4"
"F48F7.6.1",0.000185194691896715,-0.520819004219206,0.164,0.396,1,"1","F48F7.6"
"mrpl-19.1",0.000186235288574484,-0.421895470159876,0.049,0.266,1,"1","mrpl-19"
"fat-4.1",0.000187996198617928,-0.459533127523242,0.049,0.266,1,"1","fat-4"
"F20G2.2.1",0.000188279083112924,-0.590328908102337,0.131,0.368,1,"1","F20G2.2"
"Y51H4A.24.1",0.000189500698086386,-0.69600932187416,0.049,0.263,1,"1","Y51H4A.24"
"Y49F6B.2.1",0.000189548367361485,-0.333439242489452,0.033,0.251,1,"1","Y49F6B.2"
"F11A10.6.1",0.000191659353323488,-0.340774155783364,0.066,0.303,1,"1","F11A10.6"
"nfi-1.1",0.000195008494586412,-0.430536113123291,0.049,0.272,1,"1","nfi-1"
"pro-2.1",0.000195743548675216,-0.592652873699698,0.082,0.307,1,"1","pro-2"
"cux-7.1",0.000200940114517797,-0.396346409886742,0.066,0.288,1,"1","cux-7"
"nhr-104.1",0.000201643145360083,-0.399478004052279,0.049,0.266,1,"1","nhr-104"
"natb-1.1",0.000202357310187481,-0.458675543179902,0.049,0.269,1,"1","natb-1"
"ncbp-1.1",0.000204312735704832,-0.438621479181509,0.098,0.331,1,"1","ncbp-1"
"ZK856.11.1",0.000204795037700175,-0.45256241945329,0.066,0.285,1,"1","ZK856.11"
"pmt-2.1",0.000207200928319294,-1.46137276672803,0.049,0.266,1,"1","pmt-2"
"pho-9.1",0.000210285035365017,-1.0488940452544,0.098,0.316,1,"1","pho-9"
"F23A7.4.1",0.000211966075617509,-0.727797278892611,0.066,0.282,1,"1","F23A7.4"
"Y17G7B.21.1",0.000214326897807219,-0.443343889423911,0.066,0.285,1,"1","Y17G7B.21"
"dhhc-2.1",0.00021461544798933,-0.479869765449025,0.066,0.285,1,"1","dhhc-2"
"ruvb-1.1",0.000218725344826676,-0.491842407115101,0.049,0.266,1,"1","ruvb-1"
"F18H3.4.1",0.000221074423422778,-0.443969923298299,0.049,0.263,1,"1","F18H3.4"
"cct-8.1",0.000225353164061745,-0.384126175671425,0.049,0.276,1,"1","cct-8"
"grdn-1.1",0.000225744609417035,-0.906134520151123,0.066,0.279,1,"1","grdn-1"
"nadk-2.1",0.000227184191134089,-0.521346401425184,0.066,0.282,1,"1","nadk-2"
"C52D10.3.1",0.000228415210643322,-0.875454902061697,0.098,0.319,1,"1","C52D10.3"
"F09E5.10.1",0.000229158894056952,-0.464762873058817,0.066,0.282,1,"1","F09E5.10"
"K04C2.3.1",0.000231492700867967,-0.490877716312932,0.082,0.313,1,"1","K04C2.3"
"F34H10.3.1",0.000232167985115624,-0.473845977821255,0.066,0.282,1,"1","F34H10.3"
"magu-2.1",0.000235336532738898,-0.656042914556515,0.049,0.26,1,"1","magu-2"
"Y58A7A.3.1",0.000239449918332124,-0.755218319647351,0.049,0.26,1,"1","Y58A7A.3"
"C47G2.3.1",0.000243472478512333,-0.363531307645888,0.049,0.263,1,"1","C47G2.3"
"hsp-16.48.1",0.000243772370891347,-1.90179274573377,0.262,0.471,1,"1","hsp-16.48"
"gta-1.1",0.00024816665286489,-0.665231076981465,0.082,0.307,1,"1","gta-1"
"C29F7.3.1",0.000249485449892295,-0.471863929433961,0.049,0.26,1,"1","C29F7.3"
"K04C2.2.1",0.000249704477037617,-0.497924585606397,0.098,0.319,1,"1","K04C2.2"
"ndg-4.1",0.000250537816331866,-0.424728211256564,0.066,0.282,1,"1","ndg-4"
