"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"pqn-73",0,4.51422383979143,0.681,0.082,0,"10","pqn-73"
"F56C9.8",0,4.56207368339997,0.677,0.091,0,"10","F56C9.8"
"W06F12.2",0,4.07667958457894,0.665,0.094,0,"10","W06F12.2"
"R02F11.1",0,5.17931548440874,0.656,0.091,0,"10","R02F11.1"
"F30H5.3",0,5.00843371807758,0.573,0.052,0,"10","F30H5.3"
"abu-14",0,5.6832238902647,0.587,0.081,0,"10","abu-14"
"cyn-17",0,6.79573617637206,0.49,0.022,0,"10","cyn-17"
"lgc-27.1",0,3.42917127048385,0.556,0.089,0,"10","lgc-27"
"nmgp-1",0,4.1694605588377,0.473,0.056,0,"10","nmgp-1"
"plpr-1",0,4.07149085655768,0.462,0.046,0,"10","plpr-1"
"pqn-13",0,5.4011586871955,0.446,0.039,0,"10","pqn-13"
"lgx-1",0,4.97146502600791,0.441,0.039,0,"10","lgx-1"
"chs-2",0,5.80169907429274,0.425,0.023,0,"10","chs-2"
"F40E10.5",0,5.97419275421437,0.409,0.027,0,"10","F40E10.5"
"kin-36",0,4.42204430889017,0.401,0.028,0,"10","kin-36"
"F35H10.10",0,3.47293322698423,0.433,0.062,0,"10","F35H10.10"
"F26F12.4",0,4.26168385912734,0.397,0.033,0,"10","F26F12.4"
"lron-2",0,5.06864876236253,0.373,0.024,0,"10","lron-2"
"T01E8.8",0,5.07874688538047,0.36,0.025,0,"10","T01E8.8"
"sel-7",0,3.91860640823774,0.341,0.029,0,"10","sel-7"
"T24F1.7",0,4.61620918563331,0.341,0.034,0,"10","T24F1.7"
"cdh-5",0,4.16034615347624,0.335,0.03,0,"10","cdh-5"
"inx-6",0,4.7887227520433,0.322,0.022,0,"10","inx-6"
"phg-1",0,4.95241180763382,0.312,0.024,0,"10","phg-1"
"gmeb-2",0,4.66225597974077,0.29,0.017,0,"10","gmeb-2"
"D1054.9",0,6.08464629218475,0.272,0.018,0,"10","D1054.9"
"ZK813.6",0,5.41519556187544,0.262,0.015,0,"10","ZK813.6"
"W04E12.9",0,4.35761811690188,0.255,0.018,0,"10","W04E12.9"
"R09E10.5.1",3.63818981851524e-311,3.52635555926081,0.494,0.09,6.76339487261983e-307,"10","R09E10.5"
"F54D5.15",2.20896543493282e-289,4.43072155465902,0.278,0.028,4.10646674354011e-285,"10","F54D5.15"
