PC,Proportion.Variance.Explained
1,0.05165570261998662
2,0.031677337123256495
3,0.014571372020163334
4,0.010540812541567258
5,0.009807661418528015
6,0.009621584499264547
7,0.00847895850259692
8,0.007787029789298748
9,0.007144701160338722
10,0.006475495327735698
