"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"cnx-1.2",1.03087974355086e-07,-1.46428083168637,0.703,0.823,0.00140550144235724,"5","cnx-1"
"F13C5.2.4",1.07275841027534e-07,-2.16390660386405,0.297,0.578,0.0014625988165694,"5","F13C5.2"
"ctc-3",1.16262479487012e-07,-1.19686258894569,1,0.986,0.00158512264532592,"5","ctc-3"
"C34C12.4.2",1.16974189877117e-07,1.05687794565481,0.676,0.415,0.00159482610478462,"5","C34C12.4"
"smd-1.2",1.39540477236241e-07,-1.56800906487749,0.608,0.755,0.00190249486663891,"5","smd-1"
"W07G4.5.2",1.41706890304642e-07,1.03499077978715,0.851,0.679,0.00193203174241349,"5","W07G4.5"
"B0238.11.4",1.48638233963959e-07,-2.36480563446662,0.203,0.498,0.00202653368186462,"5","B0238.11"
"klf-3.2",1.4887167355058e-07,1.0395225090822,0.689,0.41,0.00202971639718861,"5","klf-3"
"F53E4.1",1.52450993380045e-07,1.06989088751014,0.514,0.24,0.00207851684374353,"5","F53E4.1"
"C10G8.8.3",1.54923497622162e-07,1.05205465698286,0.662,0.395,0.00211222696658056,"5","C10G8.8"
"Y46G5A.7.5",1.60737925493342e-07,-3.57272237794496,0.054,0.354,0.00219150087617622,"5","Y46G5A.7"
"Y48A6B.3.3",1.62690663270345e-07,-1.42662391255898,0.662,0.745,0.00221812450302789,"5","Y48A6B.3"
"cdr-1.2",1.64097947269361e-07,1.79360126871373,0.554,0.294,0.00223731141307047,"5","cdr-1"
"C17E4.20.4",1.64742562072882e-07,-4.52911111321898,0.041,0.335,0.00224610009130168,"5","C17E4.20"
"nhr-63.1",1.67204575931782e-07,1.65629933411187,0.432,0.194,0.00227966718825392,"5","nhr-63"
"ZK546.14.2",1.69345231701727e-07,-1.59192495366874,0.446,0.682,0.00230885288902134,"5","ZK546.14"
"T23F11.4.4",1.75130106536659e-07,-2.13611330203544,0.149,0.464,0.00238772387252081,"5","T23F11.4"
"T04D3.5.5",1.75429815397767e-07,-5.47262462670129,0,0.284,0.00239181010313316,"5","T04D3.5"
"warf-1.2",1.76217535767109e-07,1.85280765954873,0.446,0.202,0.00240254988264876,"5","warf-1"
"cyp-13A7",1.95551680161523e-07,2.17893639791039,0.257,0.075,0.00266615160732221,"5","cyp-13A7"
"T10B11.5.4",1.99591022215112e-07,-2.80655014581787,0.068,0.374,0.00272122399688084,"5","T10B11.5"
"cyb-3.5",2.01738022908522e-07,-5.4558443021501,0.014,0.298,0.00275049620433479,"5","cyb-3"
"arrd-8",2.05979962639739e-07,1.83752277339946,0.432,0.184,0.0028083308106302,"5","arrd-8"
"C15H11.11.3",2.08405048893493e-07,1.64027522973617,0.473,0.231,0.00284139443661388,"5","C15H11.11"
"Y14H12B.1.3",2.09033571481532e-07,-2.31142758522095,0.149,0.451,0.00284996371357921,"5","Y14H12B.1"
"ttr-36.5",2.09064454792633e-07,-4.52582642215153,0.014,0.298,0.00285038477664275,"5","ttr-36"
"viro-2.3",2.11758419246679e-07,1.27082351463447,0.689,0.389,0.00288711428800922,"5","viro-2"
"K11H3.5.1",2.15716768724452e-07,1.18579305970189,0.351,0.122,0.00294108242478918,"5","K11H3.5"
"acox-1.5.3",2.1626910532898e-07,-3.87426673242536,0.068,0.359,0.00294861298205531,"5","acox-1.5"
"wht-2.4",2.28554424807841e-07,-2.70067164710141,0.149,0.447,0.00311611102783011,"5","wht-2"
"E01G4.3",2.31776202246347e-07,-1.64834701230675,0.338,0.633,0.0031600367414267,"5","E01G4.3"
"cyn-6.5",2.44953065359458e-07,-3.95471112879375,0.351,0.587,0.00333969009311085,"5","cyn-6"
"ret-1.5",2.48431017431929e-07,-2.64499126453082,0.635,0.77,0.00338710849166692,"5","ret-1"
"dig-1.5",2.60840344715044e-07,-5.29571429400741,0.041,0.325,0.00355629725984491,"5","dig-1"
"fbxc-36.5",2.69124739923375e-07,-4.85326289760532,0,0.277,0.0036692467041153,"5","fbxc-36"
"F19C6.5.4",2.8052986258101e-07,-2.00655625210147,0.351,0.602,0.00382474414642948,"5","F19C6.5"
"mab-20.4",2.91172935273229e-07,-2.03816948204384,0.284,0.548,0.0039698517995152,"5","mab-20"
"C35E7.5.5",2.94162123645614e-07,-5.59104154269585,0.027,0.308,0.0040106063937843,"5","C35E7.5"
"acp-6.4",2.96729226390652e-07,-4.86641949861752,0.027,0.308,0.00404560627261015,"5","acp-6"
"hum-1",3.00056997291742e-07,1.10760407616481,0.676,0.423,0.0040909771010756,"5","hum-1"
"Y34D9A.8",3.0844949827451e-07,1.9671257238634,0.27,0.085,0.00420540045947467,"5","Y34D9A.8"
"nhr-45",3.11875711294803e-07,1.13972245970839,0.649,0.447,0.00425211344779335,"5","nhr-45"
"epi-1.5",3.14890270601944e-07,-4.92019524830154,0.108,0.388,0.00429321394938691,"5","epi-1"
"par-3.5",3.14998463785849e-07,-2.38542249537262,0.23,0.514,0.00429468905525627,"5","par-3"
"his-5.4",3.23525330386073e-07,-4.97029353355818,0.041,0.321,0.00441094435448373,"5","his-5"
"F13A7.11",3.31847620451717e-07,1.38930103308339,0.432,0.187,0.00452441045723871,"5","F13A7.11"
"utp-20.2",3.33785881088232e-07,-1.57357692193275,0.446,0.655,0.00455083670275696,"5","utp-20"
"ipla-2",3.38963737899118e-07,2.10576294613686,0.392,0.165,0.00462143160251657,"5","ipla-2"
"pfas-1",3.42830936302187e-07,1.52454193386275,0.297,0.097,0.00467415698554402,"5","pfas-1"
"C37C3.10",3.42942819105285e-07,2.29202650501949,0.257,0.077,0.00467568239568145,"5","C37C3.10"
"cest-2.1.2",3.55851436439843e-07,-2.47378314592822,0.324,0.583,0.00485167848442082,"5","cest-2.1"
"atln-1.1",3.76310517626086e-07,-1.77034711619166,0.27,0.565,0.00513061759731405,"5","atln-1"
"gst-6.4",3.82416650333685e-07,1.2677926569294,0.622,0.344,0.00521386861064946,"5","gst-6"
"F42A10.7.1",3.97288138385395e-07,1.13462974461201,0.311,0.102,0.00541662647874648,"5","F42A10.7"
"fnci-1.3",3.9854955000759e-07,-3.11470288153722,0.027,0.316,0.00543382456480348,"5","fnci-1"
"C46F11.6.5",4.18140574240377e-07,-4.31588183069465,0.041,0.318,0.00570092858919329,"5","C46F11.6"
"cnc-10.5",4.29239746586384e-07,-7.62819697293866,0.014,0.286,0.00585225470495875,"5","cnc-10"
"gpdh-3.2",4.37046707228194e-07,-2.16201718681509,0.176,0.473,0.0059586948063492,"5","gpdh-3"
"hyl-2.3",4.47686213475221e-07,-1.99417176068389,0.189,0.488,0.00610375383452116,"5","hyl-2"
"duxl-1.5",4.75453288935177e-07,-3.6681071004111,0.054,0.335,0.0064823301413422,"5","duxl-1"
"C32D5.8",4.81292920666092e-07,1.12613827802975,0.662,0.446,0.0065619476803615,"5","C32D5.8"
"nfx-1.1",4.98466071120876e-07,1.41889699001114,0.703,0.469,0.00679608641366203,"5","nfx-1"
"ugt-53.5",5.03421931640886e-07,-4.89949596136696,0.014,0.287,0.00686365461599184,"5","ugt-53"
"slc-17.5.3",5.05630344292126e-07,-4.62643023087192,0.014,0.287,0.00689376411407885,"5","slc-17.5"
"F42H10.6.1",5.20118048846228e-07,1.0403249905012,0.865,0.617,0.00709128947796947,"5","F42H10.6"
"his-1.4",5.28232116085721e-07,-4.4775606973187,0.014,0.287,0.00720191667071272,"5","his-1"
