"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"sec-6",0.254506138077063,-0.587766430692556,0.18,0.243,1
"bir-2",0.254629547589286,-0.453576797658034,0.011,0.033,1
"rps-3",0.254671019089614,-0.111906913820851,0.921,0.983,1
"fbxb-42",0.25477309916232,1.17991575467884,0.112,0.079,1
"lgc-29",0.254827450006128,1.76964177833847,0.045,0.024,1
"fdps-1",0.255283358059365,0.692154748278227,0.258,0.215,1
"D2030.8",0.255304844149637,1.28905167112549,0.022,0.051,1
"T05A12.4",0.25564770622504,0.382717055545198,0.27,0.23,1
"gon-4",0.255653316622111,-0.294639483252225,0.056,0.094,1
"T20F7.1",0.255718320523563,0.241851068323454,0.135,0.195,1
"ugt-43",0.256329006961485,0.107566152131621,0.034,0.066,1
"math-42",0.256567463888857,0.258776008825172,0.371,0.316,1
"C25F9.10",0.256835207074771,0.282351550038808,0.64,0.571,1
"frm-8",0.257151642892751,-0.626512838946628,0.011,0.033,1
"acp-7",0.257350184677098,1.85154514788494,0.022,0.051,1
"rab-35",0.257524310571465,-0.159439583259949,0.191,0.258,1
"vps-54",0.257546918843139,0.578280717663263,0.191,0.255,1
"ipla-6",0.257600375788491,0.38035348864749,0.292,0.251,1
"F52H2.4",0.2578252877973,0.925509391090844,0.09,0.059,1
"rsr-2",0.257832716863621,-0.251545845395237,0.09,0.134,1
"pqn-62",0.258007152307347,-1.50819528789359,0.067,0.101,1
"frm-1",0.258024970592374,0.82354884995102,0.73,0.749,1
"clec-8",0.258210010873592,0.266885351139959,0.045,0.08,1
"rps-20",0.258291435377546,-0.102790381907283,0.921,0.983,1
"ppk-2",0.25867387682274,-0.220613562119774,0.18,0.244,1
"F13H10.8",0.258737519081078,0.368953507240069,0.719,0.827,1
"rnp-8",0.258842640739829,-0.490396921765544,0.011,0.033,1
"abcf-2",0.259011095056658,0.12522618784217,0.697,0.838,1
"shc-2",0.259421231780534,-0.905712497074441,0.056,0.091,1
"ZK637.4",0.25972461617402,-0.714495360983531,0.067,0.105,1
"sars-2",0.259962075238596,-0.341033307076552,0.18,0.239,1
"nhr-207",0.260159358220309,2.64106432011687,0.045,0.024,1
"gld-2",0.260187175931571,0.468053055095909,0.562,0.565,1
"T04D3.1",0.260541328302766,-0.777090834067844,0.011,0.033,1
"rga-1",0.260800410078603,-0.197641353106291,0.258,0.333,1
"unc-80",0.2608026559352,0.49966575025444,0.09,0.059,1
"ubq-1",0.260803840320803,-0.256023639950827,0.697,0.798,1
"F01F1.15",0.260923108060948,0.411894095248867,0.618,0.682,1
"lin-41",0.261055462141421,1.47530383455988,0.045,0.024,1
"iars-1",0.261060457203714,0.111067593830119,0.506,0.628,1
"B0353.1",0.261138777057519,-0.380611264019532,0.393,0.471,1
"dhs-8",0.261221728169482,-0.857183054176901,0.045,0.079,1
"Y94H6A.3",0.261320788329486,-0.180116386730236,0.236,0.295,1
"ech-8",0.2613256990328,-0.236627147727936,0.596,0.7,1
"K09F6.6",0.261393558053703,-0.775262483729555,0.011,0.033,1
"gst-8",0.261773566363182,2.0960152376468,0.056,0.033,1
"anat-1",0.261860450998807,-0.487228050313304,0.157,0.208,1
"npr-15",0.261953698255168,2.61542505923601,0.045,0.024,1
"nhr-21",0.262008822698672,1.21591238386901,0.202,0.169,1
"rab-6.2",0.262016552047692,-1.00111971400985,0.056,0.091,1
"ceh-62",0.262247712997939,-0.643397489134832,0.011,0.033,1
"exc-12",0.262247712997939,-0.576387973476186,0.011,0.033,1
"Y50D4A.4",0.262337599248967,-0.580010350234681,0.045,0.079,1
"Y92H12BL.5",0.262410303740526,0.763328352581915,0.101,0.152,1
"mes-3",0.262562373494561,1.12837163011191,0.292,0.258,1
"cyn-10",0.262628213353707,-0.673972396971442,0.112,0.157,1
"twk-16",0.262741186004624,4.03853104218592,0.067,0.042,1
"syp-1",0.262859912612171,0.834914454184789,0.022,0.051,1
"Y92H12BR.3",0.262984963684379,0.318011102131005,0.146,0.208,1
