"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"ZK1320.3",4.74566222732233e-55,3.69160360242725,0.958,0.2,6.47023588073126e-51
"clec-56",4.88395824620496e-53,4.19104936242417,0.736,0.075,6.65878867287585e-49
"clec-62",5.27510690567283e-51,3.4083891390379,0.875,0.136,7.19208075519433e-47
"R193.2",1.7086898728586e-49,3.66755615404863,0.875,0.144,2.32962777265541e-45
"ZK593.3",2.3320350460695e-49,3.87224417284754,0.569,0.036,3.17949658181115e-45
"F54D5.4",2.97170598669074e-47,3.09934140791158,0.958,0.225,4.05162394225416e-43
"gba-4",9.05017278034387e-47,2.44668511293956,0.708,0.075,1.23390055687208e-42
"cpr-9",2.30143124981482e-46,3.90913413705774,1,0.305,3.13777136599752e-42
"clec-65",2.33977375640948e-46,2.80092012603771,0.903,0.164,3.19004753948868e-42
"F14D7.6",1.68755107430894e-43,3.2297971199016,0.667,0.076,2.30080713471281e-39
"clec-63",6.21024295206749e-43,2.83118435931756,1,0.371,8.46704524084882e-39
"K12H4.7",3.52642887356761e-42,2.98369172415125,0.903,0.198,4.80793312622208e-38
"cpr-5",2.6785519285115e-41,3.09708808436175,0.667,0.078,3.65193769933258e-37
"Y39B6A.1",3.69266472452275e-41,3.68326926511364,0.75,0.119,5.03457908541432e-37
"lys-4",1.1068533100859e-40,3.59922568927184,0.903,0.256,1.50908380297112e-36
"cest-13",2.84946174210787e-40,3.18697239908334,0.653,0.08,3.88495613918987e-36
"ctsa-3.1",3.99089393017247e-39,2.59349600622393,1,0.471,5.44118478439714e-35
"asp-6",5.69555434920003e-39,2.97276649353838,1,0.427,7.76531879969933e-35
"ZK1320.2",9.47595732134322e-38,2.27574813852692,1,0.424,1.29195202119193e-33
"F54D5.3",2.13195506467392e-37,2.28037415032084,1,0.456,2.90670753517642e-33
"K07G5.5",8.67555976905817e-37,1.99588569954621,0.889,0.198,1.18282581891339e-32
"F23F12.13",2.38629178281278e-36,3.20239086253296,0.75,0.137,3.25347021668694e-32
"col-76",3.08527719817753e-36,3.09590333212224,0.708,0.122,4.20646693199525e-32
"clec-227",6.95404601669732e-36,4.42768963225485,0.486,0.042,9.48114633916512e-32
"ttr-44",1.08048799177002e-35,2.20523051706152,0.986,0.312,1.47313732797925e-31
"bath-47",5.5091879190437e-35,2.66260296878988,0.792,0.171,7.51122680882418e-31
"cgr-1",5.56810937051851e-35,2.44587807613555,0.833,0.2,7.59156031576493e-31
"bath-26",5.79643415483113e-35,3.07923223471927,0.681,0.119,7.90285832669677e-31
"endu-2",9.89344283494912e-35,3.05190014117426,0.917,0.31,1.34887199611696e-30
"clec-265",2.02725191234136e-34,2.60032603528299,0.903,0.256,2.76395525728621e-30
"spp-3",2.10339723663869e-34,2.37650709901298,0.986,0.469,2.86777179243319e-30
"ttr-49",3.97544444866591e-34,2.13641236797745,0.972,0.32,5.4201209613111e-30
"T05E12.6",4.9302044323556e-34,2.38893989232103,1,0.534,6.72184072307362e-30
"daf-36",6.50532073799079e-33,2.97839252620327,0.583,0.081,8.86935429417664e-29
"smoc-1",5.75278428451539e-32,2.97242023217939,0.528,0.063,7.84334609350829e-28
"ifc-2",5.88472111293491e-32,2.23095281805711,0.889,0.266,8.02322876537545e-28
"pgp-3",7.68373763718606e-32,2.13698405714471,0.764,0.149,1.04760078945395e-27
"gpx-7",8.13240376163905e-32,2.31962128562391,0.778,0.178,1.10877192886187e-27
"T28D6.7",1.16843339825922e-31,2.57035869349665,0.736,0.149,1.59304209518662e-27
"gsto-1",1.26061110677161e-31,3.2908366893446,0.5,0.054,1.71871718297242e-27
"pes-9",2.31194776891335e-31,1.98690151532657,0.986,0.522,3.15210958813646e-27
"spp-18",6.70348572977235e-31,2.01760591575863,0.986,0.503,9.13953244397162e-27
"Y32F6A.4",1.89061234018528e-30,2.31876507800756,0.792,0.186,2.57766086460861e-26
"asp-5",3.15986489158142e-30,2.06055815269601,1,0.581,4.30815979318211e-26
"pmp-5",5.92353472752111e-30,2.15075808943348,1,0.775,8.07614724750228e-26
"deb-1",6.83638041358049e-30,2.53567606153279,0.708,0.147,9.32072105587564e-26
"clec-52",1.74160186521237e-29,2.59842444799617,0.681,0.132,2.37449998303055e-25
"mct-3",1.85168373212877e-29,1.9553771497986,0.972,0.364,2.52458560038437e-25
"C42D4.1",2.11161941233685e-29,2.0801328484722,0.986,0.437,2.87898190678007e-25
"bgal-2",4.50872238201122e-29,3.67678436579897,0.389,0.031,6.1471920956341e-25
"F28B4.3",5.00413599562289e-29,1.98994478906667,0.944,0.341,6.82263901643225e-25
"asp-13",7.06954625849096e-29,2.00601626900256,0.986,0.495,9.63861936882658e-25
"ugt-17",1.2456781101728e-28,1.91776260104309,1,0.41,1.69835753540959e-24
"drl-1",1.41494609220595e-28,2.20554995871281,0.694,0.134,1.92913750211359e-24
"pho-1",1.78283652470838e-28,1.69649674713951,0.986,0.414,2.43071931778741e-24
"T19H5.6",1.87113738064203e-28,2.4880189434828,0.736,0.175,2.55110870476735e-24
"T05F1.11",7.75005848906423e-28,2.0176849935051,0.889,0.329,1.05664297439902e-23
"F08A7.1",7.84796736019643e-28,1.72126491529967,0.75,0.158,1.06999186988918e-23
"folt-2",1.48827757861403e-27,1.7393084010293,0.861,0.239,2.02911765068236e-23
"T24C4.10",3.77068885553973e-27,1.92778836583016,0.931,0.351,5.14095718564287e-23
"Y62H9A.15",1.01887614942051e-26,2.52794174609754,0.667,0.142,1.38913574211992e-22
"exc-15",1.0995887343832e-26,1.94351560756631,0.931,0.427,1.49917928045806e-22
"fpn-1.1",1.71171386066296e-26,1.7460678000956,0.778,0.19,2.33375067762788e-22
"asp-14",1.78113290639364e-26,1.85598800141722,0.903,0.278,2.42839660457709e-22
"ncx-7",2.79428264693428e-26,1.31417353820173,0.903,0.256,3.8097249608302e-22
"hrg-7",2.9921927879665e-26,2.76379912949773,0.806,0.253,4.07955564711353e-22
"pqn-52",3.32088736128675e-26,1.78110583050759,0.958,0.358,4.52769782837836e-22
"cyp-33C9",5.79193931777359e-26,2.34845609239673,0.569,0.098,7.89673006585251e-22
"pmt-2",7.54354908846296e-26,2.74076485144666,0.792,0.266,1.02848748272104e-21
"clec-54",1.22980379005257e-25,4.38729662355845,0.333,0.025,1.67671448735768e-21
"clec-53",1.8795418591173e-25,1.95551303112267,0.792,0.227,2.56256737072052e-21
"C14C11.4",1.98789704755336e-25,1.70192562015656,0.861,0.251,2.71029883463426e-21
"T05E7.1",2.13895687176832e-25,2.28884331813636,0.528,0.08,2.91625379896892e-21
"ncr-1",2.47755941417876e-25,1.92912140382684,0.736,0.185,3.37790450529131e-21
"ccch-1",3.6057084450499e-25,2.73177123402836,0.583,0.108,4.91602289398103e-21
"Y70C5A.3",5.74219343034642e-25,2.50767600405852,0.486,0.069,7.82890652293431e-21
"Y51F10.7",7.62185361734279e-25,1.93101072302609,0.972,0.51,1.03916352218852e-20
"slc-17.6",1.95305252261054e-24,1.79774367874955,0.931,0.388,2.66279180932721e-20
"T08B1.1",2.5654687293322e-24,1.64868789768912,0.986,0.476,3.49776006557153e-20
"twk-26",3.4389330312237e-24,3.28151491778544,0.431,0.059,4.68864129477039e-20
"aat-8",3.73255240912667e-24,2.4250216489431,0.486,0.073,5.0889619546033e-20
"ZK666.15",5.30821001951065e-24,3.50744911144316,0.306,0.022,7.23721354060082e-20
"clec-5",5.55118073326319e-24,2.14677804559064,0.792,0.256,7.56847981173104e-20
"gst-26",8.95311915015845e-24,1.80688366453885,0.708,0.176,1.2206682649326e-19
"best-7",1.2463911756274e-23,3.58577734276483,0.486,0.085,1.6993297288504e-19
"ttr-46",2.44644697716834e-23,1.47942193055982,1,0.536,3.33548580867132e-19
"F09B12.3",3.11084190655333e-23,1.2918101954262,1,0.758,4.2413218553948e-19
"asp-2",3.41661689298088e-23,1.35979438857543,1,0.559,4.65821547189013e-19
"daao-1",3.70169122835654e-23,2.25842971040284,0.625,0.147,5.04688582074131e-19
"scav-4",8.18359770056275e-23,1.80495467263375,0.875,0.3,1.11575171049473e-18
"Y51H4A.5",8.26745495706472e-23,4.16294945078686,0.278,0.019,1.1271848088462e-18
"Y38H6C.21",8.33527443226409e-23,1.95774378739152,0.625,0.137,1.13643131609489e-18
"cln-3.1",1.83422719706609e-22,1.97152919169596,0.639,0.141,2.50078536047991e-18
"clec-72",2.10828065186188e-22,1.80808177701251,0.986,0.464,2.87442984074848e-18
"T26C12.1",4.64585790986268e-22,1.9738681661821,0.931,0.486,6.33416267430677e-18
"F42A10.7",4.82388579734102e-22,1.97573073185473,0.486,0.081,6.57688589609475e-18
"F55B11.4",6.44327158745275e-22,1.42085826941164,0.986,0.51,8.78475648233308e-18
"asah-1",7.35364560763731e-22,2.319376933877,0.667,0.19,1.00259604214527e-17
"C01B9.1",8.77157091180179e-22,1.36884689622687,0.722,0.197,1.19591597811506e-17
"Y17G7B.8",8.78929737301932e-22,2.15549732231069,0.583,0.131,1.19833280383745e-17
"R102.4",1.00431821313617e-21,1.51021350970752,0.931,0.464,1.36928745178985e-17
"F17C11.6",1.3873820003149e-21,2.25851498164337,0.611,0.139,1.89155661922934e-17
"F19C7.3",1.38814253388347e-21,2.16276827267171,0.417,0.059,1.89259353069672e-17
"gon-1",2.01034653786971e-21,2.07551062602645,0.736,0.222,2.74090646973156e-17
"T02D1.8",2.76285423442482e-21,1.71506487548521,0.708,0.219,3.7668754632148e-17
"atp-2",3.31978115616816e-21,0.813417758672911,1,0.939,4.52618962831967e-17
"C01B10.6",4.07679488839831e-21,3.64934730897898,0.472,0.092,5.55830215084226e-17
"C34H4.2",5.00258750537298e-21,1.61658034942076,0.597,0.141,6.82052780482552e-17
"hum-6",5.05887719218148e-21,1.48288806343906,0.875,0.314,6.89727316382024e-17
"F43C9.1",6.18454183867185e-21,3.1684306053389,0.375,0.051,8.4320043428452e-17
"ctsa-2",6.34852537777902e-21,1.15183509877962,1,0.534,8.65557950006392e-17
"F59B1.2",6.83379953622796e-21,1.32837122600102,1,0.575,9.3172022876932e-17
"lys-2",6.88435627360571e-21,1.32870051871656,0.958,0.364,9.38613134343402e-17
"zig-9",6.96576031312525e-21,1.31227726589955,0.986,0.488,9.49711761091497e-17
"vha-6",7.56912746969461e-21,1.23121706559307,1,0.625,1.03197483921816e-16
"kcc-1",1.01356732007055e-20,2.22245303235824,0.722,0.224,1.38189768418419e-16
"clec-66",1.01837419808199e-20,1.31794338924701,1,0.512,1.38845138166498e-16
"him-8",1.08982297215495e-20,2.33873694546953,0.653,0.183,1.48586464023606e-16
"faah-3",1.2316729906762e-20,2.51346885436048,0.514,0.1,1.67926295548793e-16
"C49A9.4",1.66630890133431e-20,1.59922044578034,0.597,0.132,2.2718455560792e-16
"R09H10.5",3.41439572464526e-20,1.48058739557592,0.986,0.52,4.65518713098135e-16
"Y38H6C.23",3.73648611266208e-20,2.76520680229722,0.458,0.081,5.09432516600348e-16
"mdh-2",4.91237380031023e-20,1.48128354542268,0.889,0.447,6.69753043934297e-16
"elo-2",4.94728748571606e-20,1.55849551514517,0.903,0.473,6.74513175802528e-16
"lys-8",5.39808779436003e-20,1.48002280883017,0.986,0.527,7.35975289883046e-16
"T19D12.1",8.33650902791349e-20,1.37611440918203,1,0.49,1.13659964086573e-15
"pho-13",9.98135852710338e-20,1.32528664000589,0.903,0.344,1.36085842158527e-15
"dod-17",1.04268149192441e-19,1.04368429773933,0.792,0.227,1.42159194608975e-15
"F25B4.8",1.1132501171414e-19,1.60251481893557,0.875,0.395,1.51780520971058e-15
"C26D10.6",1.13323180105066e-19,2.46095931177623,0.569,0.141,1.54504823755247e-15
"gtl-1",1.23316782294446e-19,1.21651362438533,0.986,0.527,1.68130100980247e-15
"F23A7.5",1.34098043263809e-19,2.0924259219456,0.347,0.042,1.82829272185877e-15
"T16G12.1",1.42934125982491e-19,1.60568156683774,0.972,0.458,1.94876387364529e-15
"msra-1",2.01522445273206e-19,1.75806429543825,0.917,0.646,2.74755701885489e-15
"ugt-62",2.07745012879675e-19,1.15946700795625,1,0.547,2.83239550560149e-15
"T23F2.2",2.09148673453049e-19,1.77246420433242,0.542,0.117,2.85153301385888e-15
"gst-27",2.19657457027146e-19,1.90337930794811,0.778,0.295,2.99480976910811e-15
"haf-4",2.7055308815279e-19,1.31153293160949,1,0.722,3.68872080387514e-15
"F16F9.4",3.51605819792152e-19,1.11255933242349,0.931,0.354,4.7937937470462e-15
"C36A4.4",4.14538442836222e-19,1.74314297275629,0.792,0.303,5.65181712962905e-15
"F10D7.10",4.593539797419e-19,2.39381637049076,0.431,0.073,6.26283215980107e-15
"clec-85",5.12368653122062e-19,2.39142965448455,0.639,0.192,6.98563421666619e-15
"C40H1.9",5.44763925469769e-19,1.78290129726336,0.694,0.198,7.42731135985483e-15
"arrd-24",5.75459085247794e-19,1.5726383843545,0.611,0.147,7.84580916826842e-15
"haf-9",5.87204877950591e-19,1.41513680534615,0.972,0.603,8.00595130597835e-15
"nkb-3",5.92768462835898e-19,1.34619718165416,1,0.559,8.08180522230463e-15
"sams-1",6.31862680705695e-19,1.71572401930276,0.917,0.481,8.61481578874145e-15
"zig-11",7.85586268232592e-19,1.5096707735253,0.819,0.286,1.07106831810832e-14
"math-18",7.96977944826426e-19,1.53891932094829,0.722,0.222,1.08659972997635e-14
"mct-4",8.91750468584422e-19,0.685905266663908,0.931,0.332,1.215812588868e-14
"T19C9.8",9.20523163403758e-19,2.28286691134593,0.542,0.131,1.25504128098468e-14
"E04D5.5",1.02909688249306e-18,2.1269018217202,0.625,0.18,1.40307068959104e-14
"vmo-1",1.16554606556454e-18,2.01474601991759,0.403,0.063,1.58910550579069e-14
"C29F3.7",1.1867952616075e-18,1.40454430232813,0.986,0.527,1.61807665967566e-14
"smf-3",1.24274868878695e-18,1.68216156755027,0.653,0.18,1.69436356229212e-14
"Y102A11A.3",1.42353448872892e-18,1.41767703110698,0.903,0.475,1.94084692193301e-14
"pcp-3",1.47160979331852e-18,1.19860738602998,1,0.464,2.00639279221047e-14
"cutl-15",1.66608404158672e-18,2.73048008147027,0.431,0.078,2.27153898229933e-14
"ogdh-1",1.72068230876843e-18,1.3795923639283,0.917,0.595,2.34597825977488e-14
"gfi-1",1.78033172507933e-18,1.02422437164732,1,0.522,2.42730427397315e-14
"spp-10",1.86115430924648e-18,2.20623820974558,0.458,0.09,2.53749778522665e-14
"C31H5.6",2.21894333135809e-18,1.67062651543302,0.583,0.141,3.02530733797361e-14
"hum-4",2.47397418278608e-18,1.350031632781,0.861,0.361,3.37301640081054e-14
"acer-1",2.60131739203563e-18,1.67454315823376,0.889,0.5,3.54663613230138e-14
"fkh-9",3.49244981905959e-18,1.2816179840997,0.861,0.349,4.76160608330585e-14
"dhs-14",3.55170069429548e-18,1.60956219630897,0.583,0.147,4.84238872660245e-14
"elo-5",4.53921659174836e-18,2.19557578004675,0.556,0.142,6.18876790118971e-14
"tba-7",5.86806987528057e-18,1.2734180865577,0.708,0.212,8.00052646795752e-14
"pitr-1",5.93038255966299e-18,1.64725868004746,0.861,0.431,8.08548358184452e-14
"nspg-7.1",7.53440555102641e-18,1.02326716932546,1,0.529,1.02724085282694e-13
"tbc-7",7.76900563131019e-18,1.28681250491718,0.903,0.451,1.05922622777283e-13
"F42A10.6",9.26787980819517e-18,1.47785797225751,0.667,0.198,1.26358273304933e-13
"mtrr-1",1.02968464028575e-17,1.5360271926519,0.847,0.422,1.40387203856559e-13
