"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"fntb-1",3.10243980825644e-08,-2.27114416601722,0.276,0.393,0.000468964801416043,"3","fntb-1"
"cic-1.2",3.12173438936727e-08,-2.26587094254783,0.252,0.377,0.000471881370296757,"3","cic-1"
"pct-1",3.1219709033967e-08,-2.69281611036177,0.178,0.323,0.000471917121757445,"3","pct-1"
"jac-1",3.12501140268705e-08,-3.14560676297626,0.112,0.264,0.000472376723630174,"3","jac-1"
"lag-1.1",3.16723921272119e-08,-3.2060881999801,0.098,0.25,0.000478759879394935,"3","lag-1"
"T25B9.8",3.25466037007914e-08,-2.42422861726407,0.201,0.34,0.000491974461541163,"3","T25B9.8"
"hmg-11.1",3.29328233502808e-08,-2.54488266324724,0.196,0.335,0.000497812557762844,"3","hmg-11"
"K07E3.1.1",3.37607777566565e-08,-2.29239071015815,0.187,0.332,0.000510327916569619,"3","K07E3.1"
"spd-2.2",3.3797772862172e-08,-3.36620953027551,0.112,0.259,0.000510887134584593,"3","spd-2"
"sftb-2",3.39811614083308e-08,-1.7273600189236,0.537,0.553,0.000513659235848328,"3","sftb-2"
"Y48G10A.2.2",3.40511891181735e-08,-2.85172744098452,0.131,0.277,0.00051471777471031,"3","Y48G10A.2"
"pqn-87",3.49968731774786e-08,-1.16897875985091,0.659,0.673,0.000529012734950767,"3","pqn-87"
"ceh-38.1",3.87540440875974e-08,-2.24822003403226,0.294,0.407,0.000585806130428123,"3","ceh-38"
"H05C05.1",4.00640893215443e-08,-1.48724021070298,0.495,0.54,0.000605608774184464,"3","H05C05.1"
"picd-1.2",4.01018882822406e-08,-2.44916928916864,0.192,0.334,0.000606180143274348,"3","picd-1"
"syf-3",4.04103594668689e-08,-2.03088100039259,0.411,0.472,0.00061084299370119,"3","syf-3"
"C50F2.2.2",4.18551725007313e-08,-2.53918291526356,0.107,0.26,0.000632682787521054,"3","C50F2.2"
"cids-2",4.24990592632824e-08,-1.94867191253523,0.402,0.468,0.000642415779823777,"3","cids-2"
"prp-40.1",4.28805104910544e-08,-1.61260597952638,0.463,0.527,0.000648181796582778,"3","prp-40"
"evl-14.2",4.75239105088562e-08,-1.87028306627733,0.393,0.475,0.000718371431251871,"3","evl-14"
"epn-1",4.78430855212463e-08,-1.64846726966972,0.5,0.538,0.000723196080739159,"3","epn-1"
"kin-10",4.91630513812411e-08,-1.59492980657052,0.603,0.579,0.00074314868467884,"3","kin-10"
"spd-5",5.1721318108831e-08,-1.67456657144682,0.29,0.427,0.000781819444533089,"3","spd-5"
"hpl-1",5.38878503250114e-08,-2.67843671180899,0.192,0.326,0.000814568745512872,"3","hpl-1"
"mog-5",5.5374739158437e-08,-1.81966952555583,0.374,0.466,0.000837044557118934,"3","mog-5"
"thoc-2",5.54200430975623e-08,-1.79163450610585,0.421,0.498,0.000837729371462751,"3","thoc-2"
"lsm-7",5.54426050178382e-08,-1.4832312624088,0.537,0.547,0.000838070417449642,"3","lsm-7"
"rnp-6",5.57260109772417e-08,-1.91421332905387,0.43,0.49,0.000842354381931986,"3","rnp-6"
"lin-15A.1",5.63613426364204e-08,-2.74057886436442,0.117,0.265,0.000851958055292131,"3","lin-15A"
"C13F10.7.1",6.2387513434534e-08,-2.06137057275182,0.341,0.434,0.000943049653076415,"3","C13F10.7"
"snpc-4.1",6.32967174533942e-08,-2.32187260161015,0.159,0.303,0.000956793181025506,"3","snpc-4"
"unc-83",6.3569406106157e-08,-2.26584998283311,0.276,0.405,0.000960915142700669,"3","unc-83"
"dcap-1",6.39263833111097e-08,-2.57351415819006,0.201,0.334,0.000966311210130734,"3","dcap-1"
"F41H10.4",6.72017666050018e-08,-2.52857749617231,0.131,0.277,0.00101582190400121,"3","F41H10.4"
"Y48G8AL.13",7.48762340998759e-08,-1.24649192925209,0.682,0.624,0.00113182915465372,"3","Y48G8AL.13"
"ergo-1",7.77279830926982e-08,-2.46984207099469,0.224,0.349,0.00117493619242923,"3","ergo-1"
"F54B3.1",7.95987467924269e-08,-1.4553038485163,0.519,0.554,0.00120321465651432,"3","F54B3.1"
"sfa-1",8.04355169738305e-08,-2.2870688970863,0.229,0.36,0.00121586327457642,"3","sfa-1"
"fat-4.1",8.10864474052086e-08,-1.4191694912021,0.252,0.394,0.00122570273897713,"3","fat-4"
"mig-2",8.9869224318991e-08,-1.51608057007418,0.514,0.542,0.00135846319480587,"3","mig-2"
"dpy-21",9.18698774126973e-08,-1.45893919140275,0.514,0.552,0.00138870506697033,"3","dpy-21"
"bath-9",9.77483917598618e-08,-2.52106460176938,0.168,0.303,0.00147756468984207,"3","bath-9"
"Y50D4A.5.2",9.8520052501707e-08,-2.91742718890918,0.131,0.272,0.0014892291136158,"3","Y50D4A.5"
"aho-3.2",1.01945835464038e-07,-2.07557473240941,0.145,0.29,0.0015410132488744,"3","aho-3"
"rnp-7.1",1.02914589828806e-07,-1.61586420829517,0.579,0.562,0.00155565693985223,"3","rnp-7"
"mdt-22.2",1.04535810568493e-07,-1.98815836818782,0.336,0.435,0.00158016331255334,"3","mdt-22"
"gex-3.3",1.13458074513808e-07,-2.28390768728693,0.206,0.34,0.00171503225435071,"3","gex-3"
"hsb-1",1.15970667237074e-07,-1.6280575794311,0.449,0.498,0.00175301260595561,"3","hsb-1"
"math-33.1",1.18025496114351e-07,-1.83881027950143,0.332,0.433,0.00178407339926453,"3","math-33"
"rpb-10",1.20159929600234e-07,-1.59083714735633,0.579,0.562,0.00181633749583714,"3","rpb-10"
"lin-65.3",1.21641991316586e-07,-2.52596056063902,0.173,0.312,0.00183874034074152,"3","lin-65"
"K07B1.7",1.22586476424625e-07,-2.57791263869342,0.15,0.29,0.00185301717763463,"3","K07B1.7"
"dnc-1.1",1.28651295789501e-07,-1.68375528236901,0.495,0.534,0.00194469298715409,"3","dnc-1"
"dpy-23",1.37154037081712e-07,-2.4087060126422,0.187,0.324,0.00207322042452716,"3","dpy-23"
"mask-1",1.41960889652464e-07,-1.606992160714,0.477,0.527,0.00214588080798664,"3","mask-1"
"fld-1",1.45152511761862e-07,-1.9836504376444,0.145,0.287,0.0021941253677923,"3","fld-1"
"dpy-28.2",1.46537554996714e-07,-2.0602866321683,0.29,0.398,0.00221506168133032,"3","dpy-28"
"trm-1",1.51847612082513e-07,-1.56354407271958,0.528,0.539,0.00229532850423927,"3","trm-1"
"sup-17.2",1.56895947298238e-07,-2.54149745475752,0.192,0.322,0.00237163913936016,"3","sup-17"
"npp-10",1.78196630752625e-07,-1.58299139430387,0.477,0.525,0.00269362027045667,"3","npp-10"
"dnj-22.2",1.89384519359037e-07,-2.85344321800319,0.112,0.251,0.0028627363946312,"3","dnj-22"
"aakb-2",2.07351720973563e-07,-2.05689866849183,0.22,0.347,0.00313432861423637,"3","aakb-2"
"gex-2.3",2.16537979401637e-07,-1.86543284886743,0.341,0.432,0.00327318809663514,"3","gex-2"
"npp-11.1",2.3097611121081e-07,-2.42144835558698,0.201,0.327,0.0034914348970626,"3","npp-11"
"goa-1",2.37676634694136e-07,-1.08323502411331,0.682,0.666,0.00359272001003657,"3","goa-1"
"repo-1",2.61058608262957e-07,-2.52985988281388,0.164,0.295,0.00394616192250285,"3","repo-1"
"mrck-1.1",2.74638885558269e-07,-1.85384690682837,0.336,0.434,0.0041514413940988,"3","mrck-1"
"W04D2.4.1",2.84057018826388e-07,-2.371066299137,0.117,0.258,0.00429380589657968,"3","W04D2.4"
"epg-4",2.87991629166651e-07,-2.08915236996662,0.304,0.397,0.0043532814664831,"3","epg-4"
"Y47H9C.8.2",2.91013474701233e-07,-2.36571550911197,0.206,0.328,0.00439895968358385,"3","Y47H9C.8"
"gta-1.2",2.92777462854344e-07,-2.44686287604005,0.173,0.309,0.00442562412850626,"3","gta-1"
"nfyc-1.1",3.27148226632459e-07,-2.64435577996696,0.173,0.302,0.00494517259377625,"3","nfyc-1"
"ctn-1",3.30003893222455e-07,-2.41748679133562,0.187,0.316,0.00498833884995062,"3","ctn-1"
"fbxa-3.1",3.35171016319719e-07,-2.79813835610872,0.136,0.269,0.00506644508268887,"3","fbxa-3"
"exos-8",3.48994163455189e-07,-2.03891069154057,0.308,0.403,0.00527539577478863,"3","exos-8"
"pqe-1",3.70206678786519e-07,-1.87364133941325,0.421,0.477,0.00559604415653702,"3","pqe-1"
"rsbp-1.1",3.72074147187917e-07,-2.14572410885543,0.234,0.358,0.00562427280889255,"3","rsbp-1"
"mdf-1",3.82828648590566e-07,-2.47993379993615,0.215,0.335,0.00578683785209499,"3","mdf-1"
