,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
nex-1,2.38E-20,3.801073529,0.84,0.206,3.24E-16,9,nex-1
M02H5.8,3.66E-20,4.080406906,0.76,0.156,5.00E-16,9,M02H5.8
T24B8.4,7.15E-20,2.167790354,0.56,0.071,9.76E-16,9,T24B8.4
hpo-28,1.08E-19,1.865097149,0.48,0.05,1.47E-15,9,hpo-28
sox-3,1.79E-19,1.833216066,0.44,0.041,2.45E-15,9,sox-3
ugt-57,3.49E-19,1.668879549,0.4,0.032,4.76E-15,9,ugt-57
elf-1,1.16E-18,3.968036778,0.64,0.11,1.58E-14,9,elf-1
T20B5.2,1.27E-18,1.214918588,0.4,0.035,1.73E-14,9,T20B5.2
nep-1.1,1.45E-18,3.227015275,0.68,0.116,1.97E-14,9,nep-1
prmn-1,1.24E-17,2.658383025,0.44,0.047,1.69E-13,9,prmn-1
mig-14,2.09E-17,2.704821555,0.76,0.181,2.86E-13,9,mig-14
crp-1,6.39E-17,2.63997544,0.68,0.144,8.71E-13,9,crp-1
F08B12.4.3,8.54E-17,3.602367894,0.96,0.492,1.16E-12,9,F08B12.4
hil-7.4,2.44E-16,2.534336567,0.96,0.346,3.32E-12,9,hil-7
T24F1.7,7.97E-16,1.252065721,0.28,0.019,1.09E-11,9,T24F1.7
ric-3,1.04E-15,2.257224869,0.56,0.09,1.42E-11,9,ric-3
Y37D8A.16.2,2.19E-15,2.352805755,1,0.743,2.98E-11,9,Y37D8A.16
tag-273,8.83E-15,2.995919329,0.72,0.19,1.20E-10,9,tag-273
ajm-1.1,1.23E-13,1.851140054,1,0.843,1.67E-09,9,ajm-1
wsp-1,3.10E-13,2.389563691,0.72,0.213,4.23E-09,9,wsp-1
W06F12.2.2,4.44E-13,2.94971242,0.92,0.637,6.06E-09,9,W06F12.2
ttx-1,4.82E-13,1.605876859,0.44,0.066,6.56E-09,9,ttx-1
dim-1,2.09E-12,1.546919985,0.56,0.113,2.84E-08,9,dim-1
alr-1,2.19E-12,1.275801307,0.52,0.103,2.99E-08,9,alr-1
R10H1.1,2.69E-12,1.886583385,0.52,0.102,3.67E-08,9,R10H1.1
F10D7.5,2.98E-12,1.499380135,0.52,0.104,4.06E-08,9,F10D7.5
R10E12.2,3.21E-12,2.146980896,0.56,0.122,4.38E-08,9,R10E12.2
tag-343.3,3.67E-12,3.321697661,0.88,0.591,5.00E-08,9,tag-343
enpl-1,1.34E-11,2.716144998,0.96,0.916,1.82E-07,9,enpl-1
acy-1,1.82E-11,1.07297764,0.32,0.038,2.48E-07,9,acy-1
apl-1.2,2.14E-11,2.118183502,0.92,0.866,2.92E-07,9,apl-1
dnj-24,4.68E-11,2.840562303,0.76,0.346,6.38E-07,9,dnj-24
F21C10.18,4.96E-11,2.5628063,0.28,0.031,6.76E-07,9,F21C10.18
mfsd-12,6.50E-11,1.087379345,0.36,0.053,8.87E-07,9,mfsd-12
F52B10.3,1.16E-10,1.113677847,0.28,0.031,1.59E-06,9,F52B10.3
F56C9.8.3,1.26E-10,2.67453579,0.84,0.563,1.72E-06,9,F56C9.8
rin-1.1,2.35E-10,2.573661356,0.72,0.293,3.20E-06,9,rin-1
fpn-1.1,2.49E-10,2.579228104,0.64,0.208,3.40E-06,9,fpn-1.1
afd-1.5,3.30E-10,2.71464267,0.84,0.508,4.50E-06,9,afd-1
nmy-1,3.58E-10,2.947635544,0.84,0.645,4.88E-06,9,nmy-1
F54D1.6.3,9.92E-10,1.62129123,0.92,0.709,1.35E-05,9,F54D1.6
rab-6.2,2.27E-09,1.18185604,0.48,0.112,3.10E-05,9,rab-6.2
pqn-89.3,2.79E-09,1.775518678,0.88,0.603,3.81E-05,9,pqn-89
vab-10.3,3.67E-09,2.172141623,0.92,0.796,5.01E-05,9,vab-10
lgc-27,4.01E-09,1.307804328,0.28,0.037,5.47E-05,9,lgc-27
sma-1.1,4.22E-09,2.313823483,0.88,0.725,5.75E-05,9,sma-1
C23H5.8.3,4.53E-09,-2.518749479,0.12,0.743,6.18E-05,9,C23H5.8
act-4.3,5.04E-09,2.57241471,0.8,0.437,6.86E-05,9,act-4
irx-1,5.42E-09,1.377950875,0.32,0.05,7.39E-05,9,irx-1
dct-18.4,5.94E-09,-2.902056992,0.36,0.813,8.10E-05,9,dct-18
tth-1.2,5.97E-09,3.158226335,0.76,0.452,8.13E-05,9,tth-1
F14B8.5.2,6.07E-09,1.809207293,0.88,0.771,8.27E-05,9,F14B8.5
let-522.1,6.19E-09,1.996292715,0.84,0.713,8.44E-05,9,let-522
lam-3.5,1.11E-08,2.263297428,0.8,0.376,0.000151169,9,lam-3
his-35.1,1.54E-08,2.354281685,0.8,0.545,0.000209913,9,his-35
C07E3.3.3,1.63E-08,1.622732997,0.76,0.357,0.00022266,9,C07E3.3
pfn-2,1.66E-08,1.465882785,0.56,0.186,0.00022691,9,pfn-2
odd-2,1.68E-08,1.795744629,0.68,0.284,0.000229568,9,odd-2
rab-11.1,1.78E-08,1.905859738,0.84,0.799,0.000242526,9,rab-11.1
