"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"pmt-2.1",2.02365288883155e-31,1.73348324809163,0.762,0.21,2.71371852392311e-27,"4","pmt-2"
"best-7",2.70822613511895e-31,1.08826910842876,0.5,0.069,3.63173124719451e-27,"4","best-7"
"pmp-5.2",1.86043143608741e-30,1.7424472079296,1,0.637,2.49483855579322e-26,"4","pmp-5"
"pqn-52.3",9.65331559496025e-30,1.33451412006374,0.963,0.322,1.29450962128417e-25,"4","pqn-52"
"Y51F10.7.2",1.00251362180726e-29,1.7416363713822,0.95,0.442,1.34437076684353e-25,"4","Y51F10.7"
"R09H10.5.2",2.4727185262549e-29,1.50813289669476,1,0.456,3.31591554370781e-25,"4","R09H10.5"
"exc-15.1",5.1644426471047e-29,1.13572437579875,0.925,0.381,6.9255175897674e-25,"4","exc-15"
"spp-18.1",9.10703416602868e-29,1.27146476956158,0.95,0.424,1.22125328166445e-24,"4","spp-18"
"F55B11.4.1",2.31275285175493e-28,1.15408797944612,0.988,0.452,3.10140157420337e-24,"4","F55B11.4"
"ztf-18.1",4.25323352556881e-28,1.05544037230351,0.938,0.369,5.70358615778777e-24,"4","ztf-18"
"clec-85",4.88413552488459e-28,1.09807189610233,0.662,0.149,6.54962573887023e-24,"4","clec-85"
"pho-1.3",2.81042779158625e-27,1.08674102211501,0.975,0.387,3.76878366851716e-23,"4","pho-1"
"gtl-1.2",2.99795500506372e-27,1.07599448260577,0.988,0.443,4.02025766179045e-23,"4","gtl-1"
"T16G12.1.2",3.43726382842031e-27,1.49996217980153,0.963,0.391,4.60937079391164e-23,"4","T16G12.1"
"T19D12.1.3",3.85260534792292e-27,1.29862990559954,1,0.436,5.16634377156464e-23,"4","T19D12.1"
"T25C12.3.3",1.18680493074265e-26,1.2605410095849,1,0.458,1.5915054121259e-22,"4","T25C12.3"
"pcp-3.4",1.52444777054649e-26,1.24428464346793,1,0.418,2.04428446030285e-22,"4","pcp-3"
"clec-72.1",2.56214941407767e-26,1.302926926623,0.975,0.405,3.43584236427816e-22,"4","clec-72"
"T08B1.1.1",5.62405254769013e-26,1.19351753434252,0.963,0.424,7.54185446645246e-22,"4","T08B1.1"
"tag-234.2",1.07343247498888e-25,1.10255187751655,0.963,0.365,1.43947294896008e-21,"4","tag-234"
"asp-2.2",1.3992432939377e-25,1.20186460652367,1,0.516,1.87638525717045e-21,"4","asp-2"
"drd-5.1",1.7764296172728e-25,1.26865529475823,0.713,0.185,2.38219211676282e-21,"4","drd-5"
"F28B4.3.3",5.78394998095833e-25,1.20584388052858,0.887,0.318,7.75627692446512e-21,"4","F28B4.3"
"ttr-46.2",8.54761655025821e-25,1.29476956445729,1,0.513,1.14623537938963e-20,"4","ttr-46"
"zig-9.2",1.07298105577058e-24,1.01615292987405,0.975,0.431,1.43886759578835e-20,"4","zig-9"
"clec-66.2",1.81658773367658e-24,1.20436910620741,0.988,0.451,2.4360441508603e-20,"4","clec-66"
"lys-2.1",2.10930648523453e-24,1.0074701837673,0.938,0.325,2.8285799966995e-20,"4","lys-2"
"T20D3.2.3",4.66428781907064e-24,1.13010464394465,1,0.468,6.25480996537373e-20,"4","T20D3.2"
"F09B12.3.1",1.67024829737578e-23,1.04522921325608,1,0.679,2.23980296678092e-19,"4","F09B12.3"
"spp-14.2",2.0942620434581e-23,1.16857922536474,0.975,0.483,2.80840540027731e-19,"4","spp-14"
"hmit-1.1.3",3.06035033830956e-22,1.09309270429962,0.963,0.408,4.10392980367313e-18,"4","hmit-1.1"
"bgal-1.2",3.24268873172564e-22,1.03962650924129,0.912,0.403,4.34844558924408e-18,"4","bgal-1"
"C29F3.7.2",6.70369414001247e-22,1.22566262552228,1,0.464,8.98965384175673e-18,"4","C29F3.7"
"F42A10.7",6.84512906713528e-22,1.02567788819854,0.438,0.075,9.17931807902842e-18,"4","F42A10.7"
